country_teritorry,product_category,transactions,reported_product_cost,median_observed_expected_ratio,high_review_signals,manufacturers,high_review_share
South Africa,Anti-TB medicine,27,956.7945,0.6026013833112281,5,3,0.18518518518518517
Venezuela (Bolivarian Republic),Anti-Retroviral and COVID-19 medicine,17,3171.38,0.906971367503647,3,6,0.17647058823529413
Congo,"Diagnostic, PPE and Medical Device",15,0.0,1.9845340264781743,2,4,0.13333333333333333
Somalia,"Diagnostic, PPE and Medical Device",29,440.0,1.0534611198799477,3,7,0.10344827586206896
Azerbaijan,"Diagnostic, PPE and Medical Device",21,2560.24,0.9289164881960797,2,6,0.09523809523809523
Burkina Faso,"Diagnostic, PPE and Medical Device",22,2270.96,0.971786025288914,2,8,0.09090909090909091
Guinea-Bissau,Anti-TB medicine,22,1039.1100000000001,1.2536973998186531,2,6,0.09090909090909091
Kosovo,"Diagnostic, PPE and Medical Device",11,0.0,1.249619214770565,1,5,0.09090909090909091
Moldova,"Diagnostic, PPE and Medical Device",44,6682.242899999999,0.8890024039056241,3,5,0.06818181818181818
Gambia,Anti-malaria medicine,30,1882.6,0.7384894850822968,2,4,0.06666666666666667
Azerbaijan,Anti-Retroviral and COVID-19 medicine,15,1780.55,1.0452566556802378,1,7,0.06666666666666667
Djibouti,Anti-Retroviral and COVID-19 medicine,17,2298.35,0.8802396702861491,1,10,0.058823529411764705
Thailand,"Diagnostic, PPE and Medical Device",19,0.0,0.9572049337822022,1,5,0.05263157894736842
Mongolia,Anti-TB medicine,48,2268.77,0.8844200395036166,2,12,0.041666666666666664
Niger,Anti-TB medicine,28,5624.96,0.9841228924080689,1,11,0.03571428571428571
Kyrgyzstan,"Diagnostic, PPE and Medical Device",63,0.0,1.0616214224135876,2,9,0.031746031746031744
Myanmar,"Diagnostic, PPE and Medical Device",82,5313.745800000001,0.9294701564931147,2,19,0.024390243902439025
Tanzania (United Republic),Anti-TB medicine,43,5278.9018,0.9975163130836762,1,11,0.023255813953488372
Colombia,"Diagnostic, PPE and Medical Device",71,12411.6334,1.3104424659457174,1,2,0.014084507042253521
Western Asia,Anti-TB medicine,219,32533.48,0.9946932052584324,2,13,0.0091324200913242
Ukraine,"Diagnostic, PPE and Medical Device",102,7129.7067,1.0563021849365049,0,14,0.0
Sudan,Anti-TB medicine,81,13644.83,1.0357134644314456,0,12,0.0
Western Asia,Anti-Retroviral and COVID-19 medicine,80,18287.27,0.7670039546488665,0,10,0.0
Burkina Faso,Anti-TB medicine,73,11659.41,0.9866187622575787,0,11,0.0
