product,product_pack,hhi,manufacturers,top_manufacturer_share,market_spend,concentration_band
TB molecular diagnostics,96 tests,1.0,1,1.0,29746.1615,High
Pyrazinamide,Blister-672,1.0,1,1.0,23149.54,High
Isoniazid,Blister-672,1.0,1,1.0,21411.57,High
Bedaquiline,Bottle - 60,1.0,1,1.0,15011.64,High
Isoniazid+Pyrazinamide+Rifampicin - FDC,Blister-84,1.0,1,1.0,10482.84,High
Pyrazinamide,Box of 100 tab(10 Strips of 10 tab),1.0,1,1.0,10210.36,High
Ethambutol,Blister-100 (10*10),1.0,1,1.0,8543.12,High
Amoxicillin+Clavulanate - FDC,Blister-100,1.0,1,1.0,7697.4,High
Levofloxacin,Blister-100 (10*10),1.0,1,1.0,7071.03,High
Ethionamide,Blister-100 (10*10),1.0,1,1.0,6184.5,High
Isoniazid,Blister-100,1.0,1,1.0,6139.56,High
Ethambutol,Box of 100 tab(10 Strips of 10 tab),1.0,1,1.0,6058.82,High
TB molecular diagnostics,12 tests,1.0,1,1.0,5993.9372,High
Moxifloxacin,Blister-100 (10*10),1.0,1,1.0,5753.82,High
TB testing consumables/test kits,960 tests,1.0,1,1.0,5675.31,High
Ethambutol,Blister-100,1.0,1,1.0,5460.0199999999995,High
Pretomanid,Bottle of 26 tablet,1.0,1,1.0,5403.78,High
Bedaquiline,Bottle-188,1.0,1,1.0,5356.5663,High
Clofazimine,Bottle-100,1.0,1,1.0,5321.2,High
Protionamide,Bottle-100,1.0,1,1.0,4744.76,High
TB molecular diagnostics,10 tests,1.0,1,1.0,4511.6,High
HIV virological testing consumables/test kits,10 tests,1.0,1,1.0,4470.0,High
Pyrazinamide,Bottle-100,1.0,1,1.0,4409.51,High
TB testing consumables/test kits,50 tests,1.0,1,1.0,4141.68,High
TB testing consumables/test kits,25 tests,1.0,1,1.0,4093.7459,High
Dihydroartemisinin+Piperaquine - FDC,Box of 6 tablet(2 Blisters of 3 tablet),1.0,1,1.0,3780.7,High
Amikacin,Ampoule/Vial - 100 * 2ml,1.0,1,1.0,3751.1499999999996,High
Syphilis tests,25 tests,1.0,1,1.0,3716.1096,High
Cycloserine,Strip-100,1.0,1,1.0,3627.4,High
Rifampicin,Strip-100,1.0,1,1.0,3443.7999999999997,High
Ethionamide,Strip-100,1.0,1,1.0,3262.82,High
Isoniazid,Box of of 672 tablet(24 Blister of of 28 tablet),1.0,1,1.0,3097.36,High
Isoniazid+Rifampicin - FDC,Blister-672,1.0,1,1.0,2913.96,High
Hepatitis C assays,40 tests,1.0,1,1.0,2828.0,High
TB testing consumables/test kits,10 Units per pack,1.0,1,1.0,2768.4900000000002,High
Lopinavir+Ritonavir - FDC,Sachet of 120 Granule for oral suspension,1.0,1,1.0,2507.2,High
Delamanid,Strip-48,1.0,1,1.0,2476.9,High
Rifampicin,Blister-100 (10*10),1.0,1,1.0,2268.0,High
TB molecular diagnostics,10 Units per pack,1.0,1,1.0,2235.0,High
Isoniazid+Rifapentine,Box of of 36 tablet(3 Blister of of 12 tablet),1.0,1,1.0,2193.68,High
Hepatitis B assays,96 tests,1.0,1,1.0,2151.28,High
Primaquine,Blister-100 (10*10),1.0,1,1.0,2105.0,High
Efavirenz+Lamivudine+Tenofovir - FDC,Bottle-30,1.0,1,1.0,2088.9,High
Hepatitis C assays,96 tests,1.0,1,1.0,2000.33,High
Pyrazinamide,Box of 100 tablet(10 Strips of of 10 tablet),1.0,1,1.0,1976.56,High
Atazanavir+Ritonavir - FDC,Bottle-30,1.0,1,1.0,1946.9,High
TB testing consumables/test kits,100 tests,1.0,1,1.0,1943.9098,High
TB testing consumables/test kits,6 tests,1.0,1,1.0,1919.27,High
TB IGRA,200 tests,1.0,1,1.0,1908.0,High
HIV RDT and EIA,50 tests,1.0,1,1.0,1900.0,High
Ethambutol+Isoniazid+Pyrazinamide+Rifampicin (RHZE)- FDC,Blister-672,1.0,1,1.0,1875.43,High
HIV RDT and EIA,60 tests,1.0,1,1.0,1716.8138000000001,High
TB testing consumables/test kits,1000 tests,1.0,1,1.0,1635.5,High
Hepatitis C assays,25 tests,0.8709964655073659,3,0.931916285734683,18506.6284,High
Ethambutol,Blister-672,0.8693680327051979,3,0.9308289455842285,26032.71,High
TB testing consumables/test kits,1 unit / test,0.8386027462383459,2,0.9114624808158976,16698.0057,High
Darunavir (TCM),Bottle - 60,0.8344368402355318,2,0.9089234893201489,2515.7233,High
HIV RDT and EIA,25 tests,0.801279539319946,3,0.8912973677709289,9803.3983,High
Moxifloxacin,Blister-100,0.7817935240278073,2,0.8753621744580874,10840.77,High
Ethionamide,Bottle-100,0.7727620937857185,2,0.8692980461535902,7212.4400000000005,High
TB molecular diagnostics,1 unit / test,0.7658481084104909,2,0.8645875124099088,5885.7201,High
Lamivudine+Zidovudine - FDC,Bottle - 60,0.7490071430088185,5,0.8605541435385754,23209.51,High
Linezolid,Blister-100 (10*10),0.7054518655738959,2,0.8205088653796458,9983.779999999999,High
Artesunate,Blister-2,0.7034632523401989,2,0.8189539561913277,2505.44,High
Efavirenz (EFV),Bottle-30,0.6941558414761292,4,0.8155566724993953,5364.041700000001,High
Abacavir (ABC),Bottle - 60,0.6651254541976233,2,0.7873373054422479,2244.2822,High
Levofloxacin,Blister-100,0.6599033109665062,2,0.7827572377203688,17453.7,High
Cycloserine,Blister-100,0.644716599230433,2,0.7689949806505997,15659.4,High
Artemether+Lumefantrine - FDC,Blister-540 (30*18),0.6231789642871505,3,0.7509726348966627,2436.68,High
Lopinavir+Ritonavir - FDC,Bottle-120,0.6211873556406979,2,0.7461578311172509,2895.5,High
HIV CD4 testing consumables/test kits,1 unit / test,0.6191905058264803,2,0.744121389708563,2253.4365,High
Lamivudine (3TC),Bottle - 60,0.6182027409607078,2,0.7431077343079686,7672.477,High
Lopinavir+Ritonavir - FDC,Bottle - 60,0.6082627508003627,3,0.7596112788043878,3395.75,High
HIV RDT and EIA,96 tests,0.6054702755208985,2,0.7296413241567146,2996.02,High
Dolutegravir + Lamivudine + Tenofovir DF - FDC,Bottle of 90 tablet,0.605103453920947,2,0.7292416344394567,1746.9451000000001,High
Microscopes & accessories,1 unit / test,0.5880453217073078,2,0.7098157783715371,2844.4,High
HIV RDT and EIA,1 unit / test,0.5675675956449324,4,0.7168383532912058,3628.2675,High
Isoniazid+Rifampicin - FDC,Blister-84,0.5636430243123375,2,0.6783858518946184,4936.35,High
Nevirapine (NVP),Bottle of 100 ml,0.5285823371769534,2,0.6195456757414366,11836.48,High
"Medical Mask, Type IIR, single use, CE marked",50 Units per pack,0.5140524321224729,2,0.5838225271704238,3037.31,High
Tenofovir (TDF),Bottle-30,0.5093900489858333,4,0.690172856382874,3254.3952999999997,High
Artemether+Lumefantrine - FDC,Box of 180 tab(30 Blisters of 6 tab),0.5045778941737475,2,0.5478429418710201,7325.950000000001,High
HIV virological testing consumables/test kits,50 Units per pack,0.5009014249850857,2,0.5212299904037384,1668.1496,High
Ritonavir (RTV),Bottle-30,0.5002359861300076,2,0.510862461277437,10137.2099,High
Lamivudine (3TC),Bottle of 240 ml,0.5000529832272618,2,0.5051470004498663,5668.35,High
Artesunate + Amodiaquine - FDC,Box of 75 tab(25 Blister of of 3 tab),0.4956799392170066,5,0.5979506001162619,8773.3,High
HIV RDT and EIA,40 tests,0.4805656336167453,3,0.5288923475458243,3870.0957,High
Dolutegravir (as sodium salt),Bottle-90,0.46814196311520573,3,0.6147767882321699,8820.8275,High
HIV RDT and EIA,100 tests,0.44508291181913284,3,0.5993939297440232,3253.2862,High
Artemether+Lumefantrine - FDC,Blister-360 (30*12),0.43007632421475744,4,0.5388110289368064,2755.66,High
Dolutegravir + Lamivudine + Tenofovir DF - FDC,Bottle-28,0.41125609047611045,3,0.5581360369100019,2051.0213,High
Male Latex Condom,<Not Defined>,0.4096165136422162,7,0.6111070874352071,8404.4211,High
Syphilis tests,30 tests,0.38297944411379453,3,0.4996687114652314,1835.2582000000002,High
Efavirenz (EFV),Bottle-90,0.3755783690275162,3,0.4666852522999721,3587.0,High
