feature,importance,sd
product,0.8284541898528487,0.006408318077373868
product_pack,0.4750483160731848,0.00140692891338131
nb_of_suom_in_pack,0.09585779538704076,0.000493116055072509
invoice_currency_name,0.056343744607846045,0.0006470784206604156
log_pack_quantity,0.02845554949678582,0.00017108733390614565
product_category,0.022482408142069883,0.0004350957333618991
country_teritorry,0.014133863188315573,0.0011511634793810648
wb_region,0.0061278338484607175,0.0016513905113886816
freight_cost,0.005094988091296253,0.00010629432840278329
some_or_all_of_goods_prepaid,0.0028536726431248605,0.00039177335336393793
wb_income,0.0016514426374807007,0.0008287043445024141
order_year,0.0,0.0
order_month,-0.0006418123634766201,0.00025223235808948067
